video_id,duration,viewCount
X4wWLQdd-xg,2.02,839
T1G3J7sypbc,12.26,49956
GOv0O6_ubEk,17.5,343326
GxWhfhmh4PY,11.07,198281
MIaL1jHaZyk,10,2046545
JBaK7BjrrBA,20.36,434981
GuIvN3cv3PA,10.25,123840
CC3HI6FgnX0,9.2,306332
bhK3W_3CW7w,22.28,1226038
lVxEEKyv1vE,10.06,139300
QOYMk9tb_iE,17.14,175239
W5ksZzTLR9o,16.58,2045621
Zg3j6anDU6U,20.25,3101098
4GBJC-7v5eM,12.07,184865
aWWcKDfNS3g,7.18,785948
JvvZ0G6n-g0,9.39,811413
km8bc_oBRgk,7.52,465364
4tbDcf-n1Xs,37.24,3856836
HTL1vptIZXo,4.25,57175
3_NR_h8w1gY,16.2,1043358
fviTnr8n43k,14.18,1005906
IedYrYK-i4U,1.57,7719
wBoR6T6HaYQ,7.18,3588372
jlOrXFC95mA,16.38,1064547
RQH7mikvqE0,12.01,301379
R-QPs5abSsQ,15.39,626040
i6WEyU1NfNI,22.06,392075
lBfR7T0B01A,5.08,52414
nKM6toYxvOQ,23.39,2811254
rKpcWD_jh1I,2.39,83357
i4QzZ1b7iAk,23.27,2406304
68m9_iWwHZc,11.35,467517
l5eEcKa7g2U,45.53,317010
BYpHEZQ3owU,nan,581860
u7M6r7o_bx8,10.31,5993313
_xzl1DxYzwk,11.52,69225
rn_dWVwXetg,36.51,155966
lP3OJfYuHCk,17.41,395667
Vx6T8BMyqUY,11.44,1441750
4gCAeDu5Ziw,44.55,3929566
jd9-yoH9ZbA,12.42,1140206
w4oDMaER2zA,22.41,75609
PBZRy3ZxMRk,3.41,57
r9WEP3EuMK4,11.27,48416
qAhKgMcMhIA,32.48,2697530
GQpOIv_YtRE,3.41,214681
qfP5DHnHT94,11.27,150746
cZgDfg6vwgI,15.12,1521665
yJ0GdmWF3cY,13.04,1069440
kpwMbvMBvXA,9.43,119136
FAscL5xuO68,11.28,719271
WI5osKJSX6I,12.31,193338
o0ELdsroUME,20.13,191657
M8Wm2GnzHK0,10.48,150605
uKsFs8ryBJw,1.44,116595
duhnFCW3we8,13.06,1256
jDXRpI3rkhs,7.58,149082
gaajUGSCZxw,10.16,219613
i886i9kCbBg,23.4,110919
E4bgEs0zYyQ,16.32,675947
EdzGGmwwE1g,15.54,1772230
vUyXa1SOeXQ,10.33,9752716
-tBfpLA5jhk,10.02,4270842
7SzXNieVbgU,13.57,245923
oUx7KWMEKKA,12.42,102685
ZWKyV-iHQhU,8.33,195901
0sckFvub-K4,1.11,528051
Nj7mZU31KHw,6.48,26192
fUxrMeuscIk,14.27,139406
rovv7MRaW3A,1.33,14394
aeUFmFnKsQQ,14.58,626223
r01KfUiSdKg,11.02,111985
dgGlyjBNvOQ,13.31,809
8J_3l1jwt6Q,7.4,58434
piPE_Qu97Zk,15.55,179117
BYXv9XJc5z4,18.19,259968
NFq6MgzobDg,2.01,1484795
a72PNZ8frfg,4.21,25074244
zDhPwtuBn-k,12.08,6276
Fqk2xTWZ4vM,10.26,227360
4iePdpfmdJM,21.2,140776
GCNbhH6jq_8,6.05,1074309
3CsxwvqXx4Y,32.05,1661487
Pjuk3ZJFWsg,10.25,91721
sDelXDkDwlw,2,7519
k-2642UDvKw,8.46,22813
u-PclYgrW2w,21.19,858
PzQORLyBCI4,nan,1329602
DYFPrmRgBO0,7,48781
28HABZJ358g,5.52,21443998
E3b62-R7GzI,21.48,4579939
Joj6wLOfNys,17.3,1290773
lCxWp3u27g4,5.35,112146
75Oz96bkfkQ,18.48,48627
UY0WFV8aE_Y,21.49,54
