"","video_id","duration"
"530","zyUXBxw1mhg",12.52
"531","coXOC09c66s",5.19
"532","99OUjrgEq3Q",22.29
"533","ntvyMfRPKBM",8.44
"534","s3VzM4CZoqA",10.47
"535","nipiyITHoIQ",5.34
"536","27tNJWq8C4U",44.59
"537","iyovjb8u7zY",10.36
"538","llJXtDVjO2A",10.32
"539","49AqU3bmtuk",13.55
"540","BWPFKedme7M",11.17
"541","S0fjb5CiUsU",10.43
"542","lAB3T5kzIdo",37.11
"543","5S3opuECs6U",7.37
"544","ScC0tJsv96w",3.4
"545","Rrmle7fx7IM",19.17
"546","Uli4FpngmMc",17.02
"547","VxyLwYB494c",46.23
"548","4Xo3Fq7GGWk",47.34
"549","ZjRYbgDkIOo",14.43
"550","0KH6zldCYjQ",12.07
"551","oQSIwt-m2oo",7.05
"552","AzyIXRweo0Q",9.42
"553","wYUtDn8kmAs",21.25
"554","quKXa6O6-5c",11.31
"555","bOUQhwMweVE",15.52
"556","muJ3NyVO8yk",11.14
"557","1HIfNI92Mjw",55.23
"558","u4l0TSGhWTs",13.27
"559","Hqpl2jnJOag",10.18
"560","RmtjUnVTVUA",25.29
"561","pCk6VmsVo6M",17.27
"562","Wa2U3tcXNAo",12.41
"563","mcJY5N1ypEc",11.06
"564","pZcnvIAL6Ys",6.32
"565","wsI-usDoGW0",10.08
"566","uty3UDLCQ2E",9.26
"567","HJ2bn4dAr5Q",16.52
"568","jtUgFJO4Q3Q",13.36
"569","hFj8CwisIe0",NA
"570","6Szd-gqoUuI",NA
"571","RPTfFjQn5Zg",NA
"572","60LJHWFu9yA",NA
"573","wnlWCZxnwPg",NA
"574","UcIlk1tNWsE",NA
"575","UcFMD5GUUn4",NA
"576","9tZz9lCkHgM",NA
"577","Bo3hjrUOppk",NA
"578","YLU6m1D_uWs",NA
"579","8f-1X3ot5sE",NA
"580","uM1Us340040",NA
"581","PpCCjRisWSc",NA
"582","1ijZnaQ8RcE",NA
"583","ltoKDWBAqj8",NA
"584","lH5NvlFuku0",NA
"585","KdlawuL19U4",NA
"586","N9lKS_i8-g8",NA
"587","Ureo_0gyRAw",NA
"588","06Ej52-D7a0",NA
"589","Z6YCqqd8nL0",NA
"590","-t0KBMSXfYI",NA
"591","L2hLi_Zu5fM",NA
"592","ttGVD6kRc6A",NA
"593","HmWiTyHLwG8",NA
"594","jNtmyTyV7LA",NA
"595","UJcbeCUNnGA",NA
"596","CNgOqNNWLQ4",NA
"597","W2Gfecvz1Ks",NA
"598","8skhhxbX8a8",NA
"599","-dulGdlC6hs",NA
"600","3Sbw0lZ9LmY",NA
"601","i7iAK_q70do",NA
"602","lQEnZ5oTRXY",NA
"603","kJRPujGhyYg",NA
"604","wOwvnBzJK5k",NA
"605","AAqn3FwtXKQ",NA
"606","Tqsz6fjvhZM",NA
"607","laR2SrGiBac",NA
"608","6P7YUB0buqY",NA
"609","JUizXmMtODg",NA
"610","nQ_u5WqU-pU",NA
"611","nnQwDWBBuwQ",NA
"612","dtruMNbQtOs",NA
"613","wTGc0bG77Og",NA
"614","SkNT6XUyMTw",NA
"615","dJUN52oQNVg",NA
"616","cIhY5KoYBd8",NA
"617","LorScLCUG7o",NA
"618","aR8vbF9BcsE",NA
"619","NDJf_oFuq_Q",NA
"620","fqjU_OCZ4j4",NA
"621","A-uF_X9tPw4",NA
"622","PHgNMJviO6I",NA
"623","wKC917O5FjE",NA
"624","T7U3Zi0KSh8",NA
"625","RDkFSZzfgaM",NA
"626","Lr2jWCYXGg4",NA
"627","bUL0wMZwCf8",NA
"628","ikr-QGhndz4",NA
"629","0GTHnAOXXns",NA
"630","gojLtR2BVwQ",NA
"631","Aix9377fPjU",NA
"632","o35aIWq-OPM",NA
"633","8bqRaM9ajXE",NA
"634","97aSlf5mJ6g",NA
"635","tjEpBtD6jZ8",NA
"636","I1QFY6DuJ6Q",NA
"637","bKtG1Sk31i8",NA
"638","De8sVdASs58",NA
"639","iZS7QknKeX0",NA
"640","jAGquFtkCRc",NA
"641","io6wi8DVZ3o",NA
"642","P6cqnrB61AE",NA
"643","9o8-xC4f9mI",NA
"644","QiSb6oy6M3E",NA
"645","nXa3dsrzGMk",NA
"646","ilzEgeb4ZK8",NA
"647","2R8rQ1q_yLs",NA
"648","Zf24GghsESA",NA
"649","dzlW38luF-0",NA
"650","imc7glCxNog",NA
"651","hw5gvy6y8QQ",NA
"652","DEp2hCMChvc",NA
"653","H2TfBTaV9AA",NA
"654","uB4TlX8cK7g",NA
"655","Ef12EVA8_rs",NA
"656","PREfRJHd3ZY",NA
"657","F8YAq8jgE70",NA
"658","yuSgcr-J_fA",NA
"659","MDpnnJvZjLM",NA
"660","Ozp32aTdkmU",NA
"661","t-eUJmO9kYM",NA
"662","Wj6YIaL2CcI",NA
"663","TXNjyX0R0xo",NA
"664","F_7QXlXpytM",NA
"665","BOaBoiP92NU",NA
"666","-aRy7LZOO7M",NA
"667","A-vtVm49008",NA
"668","mgWQCu7eJbY",NA
"669","05Gp0MTDiTg",NA
"670","Gb1DHxY9wQg",NA
"671","dvWsEC7xGXM",NA
"672","C2LSCN2e84g",NA
"673","dvHrDeoqMts",NA
"674","9IrooOnETgM",NA
"675","jckzyr2a-dE",NA
"676","ElBej6DoWr0",NA
"677","j5BnbeEdNv4",NA
"678","MoJ0--bf-jY",NA
"679","ZbgZPXsiYto",NA
"680","bQbH5RZiBgs",NA
"681","T7O9XkIBtTo",NA
"682","roIaW7LDrKo",NA
"683","ZGfpVdA3w0U",NA
"684","v8Wm_tFrgOQ",NA
"685","IWcpeBY5vA0",NA
"686","iVVd0ZfBRbo",NA
"687","TPjUpeFzj7I",NA
"688","1MiztsTBSwM",NA
"689","iy0YUkbfNgo",NA
"690","IfRYf_0hUuA",NA
"691","lWXI4BC2CUA",NA
"692","LF0iFERBT5g",NA
"693","Lohgljl8t1w",NA
"694","hqrfTqR6u5g",NA
"695","tZm1eaBs24s",NA
"696","wlwXXb3-qn0",NA
"697","cIHfl3EPRwA",NA
"698","VheNT7HOGFI",NA
"699","JEuAD7Ey0jc",NA
"700","sYFxJefCIPc",NA
"701","cZAts3LgiUw",NA
"702","-27fDCsgKPo",NA
"703","AU4Nct1lEVU",NA
"704","b7eror7JG2Y",NA
"705","JpfiVU5_3PY",NA
"706","sfXKVj5zZeA",NA
"707","8vV_XLn6wuE",NA
"708","PXiAouRxIvY",NA
"709","HQ_1ZVLO6HU",NA
"710","6wfvWKVgOu0",NA
"711","YLNnKxpJ4-s",NA
"712","qo7G516Hjak",NA
"713","dMHuZeQCBlw",NA
"714","umvdeuF5qIU",NA
"715","O4x7sbbJNcQ",NA
"716","F_6y94n2zzQ",NA
"717","ivYFB7D88xU",NA
"718","q1KU7xEpiQo",NA
"719","kJtq_mXivFM",NA
"720","eMTKKwO8fmE",NA
"721","dsPPlQtxkmQ",NA
"722","tGtrGrhG678",NA
"723","VjYCnmbiGeI",NA
"724","pSVGGFCoamE",NA
"725","H9JfugPgsB8",NA
"726","McnRmUGXEHc",NA
"727","_1ivcDsVcEA",NA
"728","RKMMzC7amiI",NA
"729","zG60C6tnGz4",NA
"730","W5Q7KFbMwiE",NA
"731","f0BwtXF0EME",NA
"732","_Y9nJfPza6Y",NA
"733","k1hLxojtBuk",NA
"734","SKYCs9B6vHg",NA
"735","GH36es5aVNU",NA
"736","ks1CC9HBqSE",NA
"737","XEBtSL_ieC8",NA
"738","xG6QBvtTKGU",NA
"739","jrkTZp06KV4",NA
"740","uX763B89Bks",NA
