"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount"
"_K2Bt4L6a2Y","2019-09-28T02:00:02.000Z","UCaWd5_7JhbQBe4dknZhsHJg","Top 10 Marvel Deaths that Still Hurt","Keep the tissues close by and click over to Noovie to see and read more: https://www.noovie.com/stories/top-10-marvel-deaths-that-still-hurt-116 Keep the ...","https://i.ytimg.com/vi/_K2Bt4L6a2Y/default.jpg","120","90","https://i.ytimg.com/vi/_K2Bt4L6a2Y/mqdefault.jpg","320","180","https://i.ytimg.com/vi/_K2Bt4L6a2Y/hqdefault.jpg","480","360","WatchMojo.com","none",796071,16404,437,0,2709
"4X2KX3ZzIMM","2018-07-01T20:00:00.000Z","UC2iUwfYi_1FCGGqhOUNx-iA","25 Deleted Marvel Scenes You&#39;ll Never Get To See","Should Marvel Studios have decided to keep these scenes in their films? Subscribe to our channel: http://goo.gl/ho3Hg6 The hardest decision of every filmmaker ...","https://i.ytimg.com/vi/4X2KX3ZzIMM/default.jpg","120","90","https://i.ytimg.com/vi/4X2KX3ZzIMM/mqdefault.jpg","320","180","https://i.ytimg.com/vi/4X2KX3ZzIMM/hqdefault.jpg","480","360","Screen Rant","none",4182135,35012,3756,0,869
"DwxzK8ipVkg","2019-10-03T13:00:02.000Z","UCvC4D8onUfXzvjTOM-dBfEA","Marvel Studios’ Avengers: Damage Control - Official Teaser Trailer","Assemble alongside Earth's Mightiest Heroes in Avengers: Damage Control, an all-new virtual reality adventure from Marvel Studios and ILMxLAB. Shuri has ...","https://i.ytimg.com/vi/DwxzK8ipVkg/default.jpg","120","90","https://i.ytimg.com/vi/DwxzK8ipVkg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/DwxzK8ipVkg/hqdefault.jpg","480","360","Marvel Entertainment","none",13347980,356601,13391,0,11254
"idyTuocGe3w","2019-08-20T19:20:05.000Z","UC-2Y8dQb0S6DtpxNgAKoJKA","Marvel&#39;s Avengers - A-Day Prologue Gameplay Footage | PS4","Lightning strikes, repulsor blasts, ground pounds, shield throws, and spy tech make our heroes quite the team in Marvel's Avengers. In this tutorial level, the ...","https://i.ytimg.com/vi/idyTuocGe3w/default.jpg","120","90","https://i.ytimg.com/vi/idyTuocGe3w/mqdefault.jpg","320","180","https://i.ytimg.com/vi/idyTuocGe3w/hqdefault.jpg","480","360","PlayStation","none",1277325,35110,2614,0,4654
"CX17qmYO0o0","2019-03-23T17:56:37.000Z","UCo_XbucNz1018ouzp5_3GXA","Here Are Marvel’s Next Six Movies After &#39;Endgame&#39;","MCU #Marvel #Avengers Here are six MCU movies that are believed to be on the next schedule after ""Avengers: Endgame."" Check Out These Other Videos: ...","https://i.ytimg.com/vi/CX17qmYO0o0/default.jpg","120","90","https://i.ytimg.com/vi/CX17qmYO0o0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/CX17qmYO0o0/hqdefault.jpg","480","360","Movie Rockstar","none",31469948,206696,19383,0,19238
"dUR43Pmo3GM","2019-10-26T13:30:05.000Z","UCeIi7PRx_N5nTkU90r7_ykQ","Marvel Universe Size Comparison","The Marvel universe constantly reaches new heights, in both the figurative and literal senses. In this list, we're gonna do a size comparison of the Marvel ...","https://i.ytimg.com/vi/dUR43Pmo3GM/default.jpg","120","90","https://i.ytimg.com/vi/dUR43Pmo3GM/mqdefault.jpg","320","180","https://i.ytimg.com/vi/dUR43Pmo3GM/hqdefault.jpg","480","360","SL Made","none",452593,8243,581,0,698
"2J7x2Y3f4Is","2019-05-18T15:12:45.000Z","UC4jQ6NgKZn9LKNr1nDHE05g","50 Marvel vs. DC Copycat Characters","Hi guys, Me being such a big superhero fangirl, I thought it would be fun to compare some of Marvel and DC's similar characters and see who came up first with ...","https://i.ytimg.com/vi/2J7x2Y3f4Is/default.jpg","120","90","https://i.ytimg.com/vi/2J7x2Y3f4Is/mqdefault.jpg","320","180","https://i.ytimg.com/vi/2J7x2Y3f4Is/hqdefault.jpg","480","360","Marvel Girl","none",1309594,NA,NA,0,10070
"c3CKRyTiFmk","2018-12-19T09:13:43.000Z","UC_-BKZHFHcXKIQ_C5vPV4Ug","50 Superhero Marvel &amp; DC Real Name And Age 2018","DC versus Marvel Comics (issues #2–3 titled Marvel Comics versus DC) was a comic book miniseries crossover published by DC Comics and Marvel Comics ...","https://i.ytimg.com/vi/c3CKRyTiFmk/default.jpg","120","90","https://i.ytimg.com/vi/c3CKRyTiFmk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/c3CKRyTiFmk/hqdefault.jpg","480","360","toptenfamous","none",5887003,38552,2170,0,1249
"ejnGg3YJEIQ","2019-11-06T21:15:01.000Z","UCuCk_7b2_4uSr6y5hFmjuMQ","15 Marvel Movie Scenes You Didn’t Know Were CGI","Unseen CGI in Marvel Movies SUBSCRIBE NOW to CBR! Click here: http://bit.ly/Subscribe-to-CBR There is a fight among fans and filmmakers over the role of ...","https://i.ytimg.com/vi/ejnGg3YJEIQ/default.jpg","120","90","https://i.ytimg.com/vi/ejnGg3YJEIQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/ejnGg3YJEIQ/hqdefault.jpg","480","360","CBR","none",893840,6218,451,0,440
"at-oBQVptKA","2019-08-20T20:25:02.000Z","UCKy1dAqELo0zrOtPkf0eTMw","Marvel&#39;s Avengers - Official Prologue Gameplay Trailer (4K)","Our first look at Marvel's Avengers Prologue mission played on the PS4. Subscribe to IGN for more!","https://i.ytimg.com/vi/at-oBQVptKA/default.jpg","120","90","https://i.ytimg.com/vi/at-oBQVptKA/mqdefault.jpg","320","180","https://i.ytimg.com/vi/at-oBQVptKA/hqdefault.jpg","480","360","IGN","none",1276147,27262,2317,0,5372
