"","video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount"
"1023","MPcFdfKznBA","2019-12-15","UCNMDjCFQj46LosvjpRGI6hw","nba <U+516B><U+6751><U+5841><U+3068><U+6E21><U+908A><U+96C4><U+592A> <U+65E5><U+672C><U+4EBA><U+4E8C><U+4EBA><U+304C><U+540C><U+6642><U+306B>nba<U+306E><U+30B3><U+30FC><U+30C8><U+3067><U+30D7><U+30EC><U+30A4>!","<U+97F3><U+91CF><U+304C><U+5C0F><U+3055><U+904E><U+304E><U+305F><U+306E><U+3068><U+3001><U+30B8><U+30E3><U+30FC><U+30B8><U+4EA4><U+63DB><U+306E><U+30B7><U+30FC><U+30F3><U+304C><U+3042><U+3063><U+305F><U+306E><U+3067><U+518D><U+30A2><U+30C3><U+30D7> [NBA<U+30EC><U+30AE><U+30E5><U+30E9><U+30FC><U+30B7><U+30FC><U+30BA><U+30F3>] 12/14 <U+30E1><U+30F3><U+30D5><U+30A3><U+30B9>·<U+30B0><U+30EA><U+30BA><U+30EA><U+30FC><U+30BA>128 - 111<U+30EF><U+30B7><U+30F3><U+30C8>...","https://i.ytimg.com/vi/MPcFdfKznBA/default.jpg",120,90,"https://i.ytimg.com/vi/MPcFdfKznBA/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/MPcFdfKznBA/hqdefault.jpg",480,360,"<U+308C><U+3076><U+308D><U+3093><U+306E>NBA<U+5B9F><U+6CC1><U+30C1><U+30E3><U+30F3><U+30CD><U+30EB>","none",193907,571,31,0,92
"1024","7kKO3jLR2jg","2019-06-06","UCzlzGhKI5Y1LIeDJI53cWjQ","rsac x ella quot nba <U+043D><U+0435> <U+043C><U+0435><U+0448><U+0430><U+0439> quot <U+0432><U+0435><U+0447><U+0435><U+0440><U+043D><U+0438><U+0439> <U+0443><U+0440><U+0433><U+0430><U+043D><U+0442> 05 06 2019","<U+0421><U+043E><U+0432><U+0441><U+0435><U+043C> <U+0441><U+043A><U+043E><U+0440><U+043E> <U+0443> <U+043A><U+043E><U+043B><U+043B><U+0435><U+043A><U+0442><U+0438><U+0432><U+0430> RSAC <U+0432><U+044B><U+0445><U+043E><U+0434><U+0438><U+0442> <U+043D><U+043E><U+0432><U+044B><U+0439> <U+0430><U+043B><U+044C><U+0431><U+043E><U+043C>, <U+0430> <U+0441><U+0435><U+0433><U+043E><U+0434><U+043D><U+044F> <U+043E><U+043D><U+0438> <U+043F><U+0440><U+0435><U+0434><U+0441><U+0442><U+0430><U+0432><U+044F><U+0442> <U+0443> <U+043D><U+0430><U+0441> <U+0432> <U+0441><U+0442><U+0443><U+0434><U+0438><U+0438> <U+043E><U+0434><U+043D><U+0443> <U+0438><U+0437> <U+043F><U+0435><U+0441><U+0435><U+043D>...","https://i.ytimg.com/vi/7kKO3jLR2jg/default.jpg",120,90,"https://i.ytimg.com/vi/7kKO3jLR2jg/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/7kKO3jLR2jg/hqdefault.jpg",480,360,"<U+0412><U+0435><U+0447><U+0435><U+0440><U+043D><U+0438><U+0439> <U+0423><U+0440><U+0433><U+0430><U+043D><U+0442>","none",3376298,78255,2173,0,1828
"1025","Sw5fNI400E4","2019-10-04","UCtylTUUVIGY_i5afsQYeBZA","juice wrld bandit ft nba youngboy dir by colebennett","Lyrical Lemonade Presents: Juice WRLD - Bandit [ft. NBA Youngboy] (Official Music Video) Directed + Edited by Cole Bennett Song Produced by Nick Mira Dir.","https://i.ytimg.com/vi/Sw5fNI400E4/default.jpg",120,90,"https://i.ytimg.com/vi/Sw5fNI400E4/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/Sw5fNI400E4/hqdefault.jpg",480,360,"Lyrical Lemonade","none",159461622,1722801,47072,0,208492
"1026","f515tDYkHMA","2019-11-09","UCoh_z6QB0AGB1oxWufvbDUg","milwaukee bucks vs utah jazz full game highlights november 8 2019 20 nba season","Milwaukee Bucks vs Utah Jazz - Full Game Highlights | November 8, 2019-20 NBA Season <U+2705>Full Games Highlights Playlist: ...","https://i.ytimg.com/vi/f515tDYkHMA/default.jpg",120,90,"https://i.ytimg.com/vi/f515tDYkHMA/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/f515tDYkHMA/hqdefault.jpg",480,360,"MLG Highlights","none",234644,2532,88,0,372
"1027","W4BwhhqJdB0","2019-11-01","UCWJ2lWNubArHWmf3FIHbfcQ","nba top 5 plays of the night october 31 2019","Check out the top 5 plays of the night from around the league on Oct. 31 featuring DeAndre' Bembry, Kawhi Leonard, Kendrick Nunn and more! Subscribe to the ...","https://i.ytimg.com/vi/W4BwhhqJdB0/default.jpg",120,90,"https://i.ytimg.com/vi/W4BwhhqJdB0/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/W4BwhhqJdB0/hqdefault.jpg",480,360,"NBA","none",441737,6112,364,0,207
"1028","Ml-Rk5jN7nk","2019-05-12","UC3L9XPe0_FGfRG-CMGtBvFg","the worst nba predictions of all time","Nobody: Steven A. Smith: *violently hollering his ill-advised opinion* Follow me on Instagram: https: //www.instagram.com/jxmyhighroller Be sure to subscribe ...","https://i.ytimg.com/vi/Ml-Rk5jN7nk/default.jpg",120,90,"https://i.ytimg.com/vi/Ml-Rk5jN7nk/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/Ml-Rk5jN7nk/hqdefault.jpg",480,360,"JxmyHighroller","none",5732062,92893,3207,0,7447
"1029","YeeDMFF9WUk","2019-12-25","UCWJ2lWNubArHWmf3FIHbfcQ","james harden 39 s best plays of the decade","Check out the best plays of the decade from James Harden! Tune into ABC and ESPN on Christmas Day. 5:00pm/et: HOU/GSW, ABC Subscribe to the NBA: ...","https://i.ytimg.com/vi/YeeDMFF9WUk/default.jpg",120,90,"https://i.ytimg.com/vi/YeeDMFF9WUk/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/YeeDMFF9WUk/hqdefault.jpg",480,360,"NBA","none",905410,16427,316,0,872
"1030","IzEXehvFGFc","2019-11-02","UCiWLfSweyRNmLpgEHekhoAg","lebron james goes off for 39 point triple double vs the mavericks 2019 20 nba highlights","The Los Angeles Lakers comeback to beat the Dallas Mavericks 119-110 in overtime. LeBron James leads the charge as he records 39 points, 16 assists and ...","https://i.ytimg.com/vi/IzEXehvFGFc/default.jpg",120,90,"https://i.ytimg.com/vi/IzEXehvFGFc/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/IzEXehvFGFc/hqdefault.jpg",480,360,"ESPN","none",428106,4049,120,0,1036
"1031","R_xKfi2PU8A","2019-11-13","UCWJ2lWNubArHWmf3FIHbfcQ","trae young makes nba history","Trae Young sets a new season-high 42 PTS to go along with 11 AST in a 125-121 win over the Denver Nuggets.","https://i.ytimg.com/vi/R_xKfi2PU8A/default.jpg",120,90,"https://i.ytimg.com/vi/R_xKfi2PU8A/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/R_xKfi2PU8A/hqdefault.jpg",480,360,"NBA","none",275482,3446,95,0,662
"1032","sl3AOxaVHuU","2019-07-05","UC8IfNq0McKwLfwJCLPyxXRg","rsac x ella — nba <U+043D><U+0435> <U+043C><U+0435><U+0448><U+0430><U+0439> official video","<U+041A><U+041E><U+041D><U+0426><U+0415><U+0420><U+0422><U+042B> 2020: 15 <U+041C><U+0410><U+042F> - <U+0421><U+0410><U+041D><U+041A><U+0422>-<U+041F><U+0415><U+0422><U+0415><U+0420><U+0411><U+0423><U+0420><U+0413> - <U+0410><U+0412><U+0420><U+041E><U+0420><U+0410>: rsacrsacrsac.ru NBA (Remixes) <U+0432> Apple Music: https://apple.co/2JjcW0E NBA (Remixes) <U+0432> BOOM: ...","https://i.ytimg.com/vi/sl3AOxaVHuU/default.jpg",120,90,"https://i.ytimg.com/vi/sl3AOxaVHuU/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/sl3AOxaVHuU/hqdefault.jpg",480,360,"RSACLIVE","none",31236335,289568,9188,0,9347
