Title length,Description length,View Count,Like Count,Dislike Count,Comment Count,month,year
11,27,8686,62,1,8,8,2017
6,27,1984,6,0,2,8,2017
7,22,1942,9,0,0,8,2011
4,29,3661,55,0,0,7,2017
13,26,536372,7277,141,196,2,2019
11,20,59,3,0,0,8,2014
34,29,41,0,0,0,1,2015
9,24,1938,138,10,45,7,2017
10,26,25625,105,10,55,5,2016
12,26,114,0,4,0,4,2017
13,24,72,2,1,0,6,2017
9,28,56,0,0,0,6,2016
5,26,230,1,0,0,10,2015
10,27,120,2,0,0,12,2016
9,26,741965,2307,250,161,9,2019
8,26,212,1,0,0,10,2015
8,17,244,1,0,0,5,2016
9,27,883,5,0,2,4,2016
8,8,240,2,0,1,2,2009
7,20,20,1,0,0,4,2016
5,31,166,1,0,0,2,2016
11,25,155,1,0,0,6,2016
11,31,192,2,0,0,2,2016
13,29,29,0,0,0,7,2015
9,27,19,0,0,0,7,2015
10,29,159,1,5,5,4,2017
14,28,2131069,96969,3034,14927,11,2017
10,33,227,13,0,6,2,2019
13,21,5276,47,7,34,1,2019
14,25,576,10,0,0,1,2018
11,31,359,0,0,1,7,2015
11,27,304,0,0,1,7,2015
16,28,816,94,4,63,7,2019
3,26,332486,8973,405,4783,4,2013
5,0,32,2,0,0,10,2019
4,1,64,4,3,0,7,2018
79,17,2449,51,1,8,1,2017
6,25,7782,NA,NA,31,10,2018
4,22,752,3,0,0,12,2018
9,18,1344,11,0,0,8,2014
14,29,7397,33,6,7,3,2013
10,29,304,2,0,0,7,2017
12,20,3,0,0,0,12,2019
12,30,71,0,0,0,3,2017
20,29,4824,22,0,7,5,2014
5,10,97003,387,45,21,12,2018
9,20,5068,53,8,5,6,2019
9,26,143,1,0,0,7,2015
4,21,149,2,0,0,3,2018
15,22,1262403,61496,1178,8865,3,2017
8,24,380,4,1,0,4,2017
17,31,80026,539,25,32,12,2019
4,25,2959684,11298,1265,3930,4,2014
9,28,336,3,0,2,1,2017
8,26,766,21,1,5,5,2018
19,31,45,1,0,2,8,2017
10,22,412,85,4,4,10,2019
10,0,27285,196,33,27,7,2018
19,28,771,3,3,2,1,2019
9,27,5535,120,6,16,5,2013
9,28,217461,4414,270,637,7,2019
9,24,55,0,0,0,5,2016
5,12,613,30,0,12,11,2016
12,28,83,2,3,2,9,2019
9,12,351,1,0,1,8,2016
7,27,566,0,0,0,2,2017
12,28,767,0,1,0,7,2016
12,0,671,2,0,0,10,2017
14,21,183,4,0,0,11,2019
11,28,2373,5,0,1,5,2018
8,24,1064,4,1,1,4,2017
13,30,72,0,0,0,1,2015
11,32,44,4,0,3,10,2019
2,36,1258,7,1,5,4,2011
10,23,52,1,0,0,2,2017
7,30,25,3,0,0,10,2019
5,28,17162,81,2,NA,10,2009
8,24,674,15,0,0,9,2013
8,25,2755,8,2,3,5,2017
9,25,110,0,1,0,5,2016
8,25,84,3,1,1,7,2016
6,27,351,7,1,2,1,2016
12,22,125,3,0,1,4,2014
11,18,7347,167,37,87,10,2018
6,25,145,10,1,2,3,2019
10,20,266,1,0,1,8,2013
9,29,43,2,0,1,6,2019
5,23,5578,233,4,53,9,2017
12,26,44,1,1,1,7,2015
5,26,1260,6,0,0,12,2010
6,27,11,3,0,0,3,2018
77,120,639,12,0,0,5,2017
7,29,28,0,0,0,7,2015
9,27,14993,132,4,10,7,2010
11,27,609,3,0,0,7,2015
11,37,32,5,0,0,4,2018
15,27,256,0,0,0,7,2015
6,25,4,2,0,0,10,2018
5,29,111,14,1,0,5,2018
9,24,88,3,0,0,9,2018
7,31,18,2,0,0,11,2019
5,28,1694,8,5,2,11,2017
9,31,34,2,0,0,10,2019
14,26,759,1,0,0,10,2014
15,27,35,0,0,0,7,2015
11,33,1810,56,4,6,1,2019
8,22,62,4,0,0,9,2019
13,31,1062,4,0,7,2,2016
15,27,502,2,0,0,7,2015
8,24,489,0,0,0,7,2015
11,21,139,0,0,0,1,2018
10,31,103,0,0,0,7,2015
12,22,8448,143,4,58,3,2014
9,28,63,0,0,0,2,2013
11,18,3312,190,3,48,2,2015
