video_id,duration,viewCount
SgCPMIRdFpA,11.49,104600
dhj9SqrIZqI,2.16,5089835
yTqzFw-5C-0,11.33,346028
nDbOGZdyZgA,6.36,none
s4OpGYSLsws,0.53,1621755
-74-_3WSrD0,1.3,236727
Ev0kzgQOCAo,2.35,90353
FYnQKCTP7-E,3.03,19685
gh1IkmwL7m4,3.17,123862
DWZFA9y5_WY,1.43,74327
WAxa3MJEhOg,15.54,981949
u5YpLKiJTVM,11.06,8143
xmtBbWMaJL4,5.49,274791
HSKOp0BAjI8,11.44,27059
2naWinUSf6w,2.59,2889192
RQXgcsSOwbw,11.07,185501
_CAbylbInZs,29.35,105490
G46YyKRAamQ,3.02,505644
0mP501l5gGo,3.22,4781860
vlnp2EtAFZo,4.29,2849
VpJgFxdgqpM,10.21,7211
_gF4fKSS7S8,12.31,115126
5rDaMAt4_tY,0.46,54485
uvk8JLsOPrk,2.41,28997
6bQEpWAL7ps,5.27,1950001
anRjWl7Gldw,2.45,22868
u-56oym9UVE,nan,18308
