"Title","views","Publisher","Time","Duration","Like","Dislike"
"FRANCE VS CROATIA | FINAL FIFA World Cup 2018 Predict | 15/7/2018 - Pirelli7","287,403 views",,,"34:32","1.7K","301"
"ENGLAND ALL WORLD CUP 2018 GOALS | ROAD TO FINAL | IT'S COMING HOME","1,224 views",,,"2:55","8","0"
"World Cup 2018: Every Team's Best Player From 10 Years Ago","363,838 views",,,"10:02","5K","215"
"ROAD TO VICTORY - The Netherlands Journey in the 2018 World Cup","273,860 views",,,"9:02","2K","60"
"World Cup 2018 || Best Moments || Live It Up || ᴴᴰ","524,917 views",,,"4:29","8K","130"
"France v England - FIFA U-20 Women’s World Cup France 2018 - Match 31","626,415 views",,,"2:08","3.3K","322"
"FIFA World Cup Russia 2018 • Official Promo ᴴᴰ","5,944,826 views",,,"3:52","76K","2.4K"
"SPAIN vs RUSSIA! PENALTY SHOOTOUT & PARTY IN MOSCOW! - RUSSIA WORLD CUP 2018","323,360 views",,,"15:30","9.7K","141"
"IFSC Climbing World Cup Munich 2018 - Bouldering - Finals - Men/Women","515,893 views",,,"4:11:54","1.9K","138"
"Australia vs Thailand (2018 FIFA World Cup Qualifiers)","908,077 views",,,"2:57","3.1K","269"
"Neymar vs Serbia (World Cup 2018) HD 1080i","10,277,519 views",,,"13:11","57K","6K"
"Slovenia v Philippines - Full Game - FIBA 3x3 U23 World Cup 2018","455,080 views",,,"16:13","1.1K","181"
"Lionel Messi vs France (World Cup 2018) HD 1080i","3,159 views",,,"6:02","204","4"
"WORLD CUP 2018 QUIZ WITH KSI!!!","3,195,949 views",,,"2:57","46K","3.2K"
"WORLD CUP 2018 GROUP STAGE REACTION! 📺 GOGGLE IN THE BOX 📺 442oons ft Neymar, Kane, Ronaldo!","1,801,613 views",,,"3:42","17K","555"
"Uruguay v Ghana  - FIFA U-17 Women’s World Cup 2018™ - Group A","319,251 views",,,"2:04","2.1K","207"
"Dominican Rep v USA - U-15 Baseball World Cup 2018","21,668 views",,,"3:03:15","202","9"
"Germany's First Time Fail To Qualify : 2018 World Cup Korea vs Germany Highlight","3,661,145 views",,,"10:26","28K","1.5K"
"World Cup 2018 Finals Croatia vs France Full Match Sim (FIFA 18)","803,629 views",,,"1:19:08","2.4K","1K"
"WHEN BIG TEAMS LOSE - WORLD CUP 2018-1998","1,680,435 views",,,"10:46","15K","686"
"ARGENTINA WORLD CUP FULL PLAY THROUGH!!! FIFA 18 World Cup Mode","1,070,211 views",,,"30:16","9.2K","764"
"Latvia v China - Full Game - FIBA Women's Basketball World Cup 2018","58,263 views",,,"2:05:46","221","67"
"Croatia v Denmark - 2018 FIFA World Cup Russia™ - Match 52","15,393,551 views",,,"2:10","65K","4.7K"
"FIFA World Cup Russia 2018 (Official Video Preview) Tristans Football","17,739,034 views",,,"4:10","209K","7.6K"
"😭MESSI & RONALDO - OUT!😭 (World Cup Parody Song, France Argentina 4-3, Uruguay Portugal 2-1 Goals)","2,952,099 views",,,"3:45","48K","1.7K"
"Australia v USA - Full Game - Final - FIBA Women's Basketball World Cup 2018","89,556 views",,,"2:25:07","601","52"
