video_id,comment_text,,,,,,,
hzGrwaFztrE,"All of this was all about the  ""Uncle"" who uses kira to get closer to alex and lure Z out and get arrested.",,,,,,,
hzGrwaFztrE,,,,,,,,
hzGrwaFztrE,I feel bad for SYE thoo he fucked up by using the black card etc. ,,,,,,,
hzGrwaFztrE,Awesomo! The movie is great,,,,,,,
hzGrwaFztrE,GREAT MOVIE BUT GREAT NOT FOR THOSE WHO ARE NOT INTERESTED IN SUCH MOVIES,,,,,,,
hzGrwaFztrE,Well done ?,,,,,,,
hzGrwaFztrE,Their phone's tho,,,,,,,
hzGrwaFztrE,Nyc movie,,,,,,,
hzGrwaFztrE,Awesome movie... cheers for that...,,,,,,,
hzGrwaFztrE,Good show ! Up there with the other criminal shows like Scarface , Blow. 11:39 the honey trap,,,,,,
hzGrwaFztrE,Worth watching,,,?,,,,
hzGrwaFztrE,Thank y'all for telling me about the movies,,,,,,,
hzGrwaFztrE,This is a seriously good movie and it's free. Thanks for the upload!,,,,,,,
hzGrwaFztrE,I celebrate my Christmas watching this amazing movie ?,,,,,,,
hzGrwaFztrE,I feel so sorry for SYE ,,,,,,,
hzGrwaFztrE,No words to say just amazing...,,,,,,,
hzGrwaFztrE,Wasted 1:47:34 hour my life on this boredo movie.,,,,,,,
hzGrwaFztrE,There's a great lesson in this movie! ??,,,,,,,
hzGrwaFztrE,Solid film. Time well spent!,,,,,,,
hzGrwaFztrE,how about sye?,,,,,,,
hzGrwaFztrE,Its just woowwww,,,,,,,
hzGrwaFztrE,Thanks !! ,,,,,,,
hzGrwaFztrE,wait, this was based on true events?,,,,,,
hzGrwaFztrE,Good movie, I watched whole,,,,,,
hzGrwaFztrE,So interesting...,,,,,,,
hzGrwaFztrE,The movie was great ?,,,,,,,
hzGrwaFztrE,I m not understand in English,but still looked?,,,,,,
hzGrwaFztrE,Nice Movie,,,,,,,
hzGrwaFztrE,i'm new frnd,,,,,,,
hzGrwaFztrE,,,,,,,,
hzGrwaFztrE,need same response from you ,,,,,,,
hzGrwaFztrE,,,,,,,,
hzGrwaFztrE,Thank,,,,,,,
hzGrwaFztrE,"If only Kira's truth revealed earlier, so that will be a good plot twist... it changes from ""save Kira"" to ""save Alex""",,,,,,,
hzGrwaFztrE,Alain wear!!! Hand over it now!!!!,,,,,,,
hzGrwaFztrE,Hahahahhahq it's just a movie,,,,,,,
hzGrwaFztrE,Best movie.. must watch.,,,,,,,
hzGrwaFztrE,So what happened to all the money he had?,,,,,,,
hzGrwaFztrE,Just watch…...!,,,,,,,
hzGrwaFztrE,hands up!! more movies pls,,,,,,,
hzGrwaFztrE,sai i d man he is more in business for long time,,,,,,,
hzGrwaFztrE,Bravo!,,,,,,,
hzGrwaFztrE,Best movie I've seen in a while! 5??????????,,,,,,,
hzGrwaFztrE,I love this movie.,,,,,,,
hzGrwaFztrE,It's really good move.,,,,,,,
hzGrwaFztrE,Best movie i seen in a while.  Good job,,,,,,,
hzGrwaFztrE,100% best movie ever!,,,,,,,
hzGrwaFztrE,I'm I the only one who MISS SEY......  ,,,,,,,
hzGrwaFztrE,<3  ,'(,,,,,,
hzGrwaFztrE,Good story man!,,,,,,,
hzGrwaFztrE,Nice movie to watch. ,,,,,,,
hzGrwaFztrE,I feel sorry for Shyie (friend of Alex) ,,,,,,,
hzGrwaFztrE,So Kira I found you. ? something wasn't going right haw,,,,,,,
hzGrwaFztrE,HACKER part 2 downloading ..........50% ,,,,,,,
hzGrwaFztrE,This was a get movie!!!,,,,,,,
hzGrwaFztrE,I like this story this about thue love.anything happen u still love her,,,,,,,
hzGrwaFztrE,This is an amazing movie!!!,,,,,,,
hzGrwaFztrE,After watching james burn here i am keep skipping another movie ?,,,,,,,
hzGrwaFztrE,Amazing movie...i loved it??,,,,,,,
hzGrwaFztrE,No word!.,,,,,,,
hzGrwaFztrE,Good movie. Worth a watch.,,,,,,,
hzGrwaFztrE,this movie was so fye,,,,,,,
hzGrwaFztrE,Great Flick...,,,,,,,
hzGrwaFztrE,Awesome!,,,,,,,
hzGrwaFztrE,i love this movie. thanks,,,,,,,
hzGrwaFztrE,Great movie!! TY,,,,,,,
hzGrwaFztrE,what a great movie...,,,,,,,
hzGrwaFztrE,I wanted yo see him hug his parents....,,,,,,,
hzGrwaFztrE,Great role model.,,,,,,,
hzGrwaFztrE,it would be very wonderful if he shot or do something to the girl too the end.....,,,,,,,
hzGrwaFztrE,Finally a movie u can watch with ur family,,,,,,,
hzGrwaFztrE,Very interesting....luvly movie,,,,,,,
hzGrwaFztrE,Tom Holland 2,,,,,,,
hzGrwaFztrE,Best movie to watch. I enjoyed it... Alex.. Sye and Kira love u guyz ,,,,,,,
hzGrwaFztrE,wow. Amazing ?,,,,,,,
hzGrwaFztrE,I did not regret watching this.,,,,,,,
hzGrwaFztrE,Beautiful movie to watch,,,,,,,
hzGrwaFztrE,Excellent movie!!!,,,,,,,
hzGrwaFztrE,Woooow this movie is lit,,,,,,,
hzGrwaFztrE,Great movie!  Worth watching twice....!,,,,,,,
